Agent Name,Purpose,Description,Data Used,LLM,Context,Output format,Tools to use,Task boundaries,Failure Mode,Area to improve,Owner
Tokenomics,Tokenomics analysis ,An agent that anayse the tokenomics aspect of a token: token supply; token inflation/deflation trend and prospect; token distibution; token utility and demand analysis; tokenomics index.,"1. Token supply
2. Token mint/burn cycle
3. Wallet distribution
4. News article",Used for token utility and demand analysis,,Text/Structured json format,,Limit the analysis only to tokenomics aspect and collect analyse only specific news article that is relevant to the of token demand and utility,When demand for token is unclear assume the demand is Moving average of last 30 days token circulation,,Iqbal
Technical,"Perform technical analysis on inmportant metrics, liquidity, trading volumns, and price movement","An agent  that does technical analysis: Volumn analysis, order book analysis, RSI, Ichimoku Cloud (support and resistance), Parabolic SAR, MACD , Stochastic Oscillator, Bollinger Bands, CVD (Cumulative Volume Delta), Bid/Ask Spread & DepthCrypto Fear & Greed Index, ","1. Price 
2. Order book
3. Transactions volume
4. Crypto fear and greed index",LLM is used to analysis the techincal analysis metrics given and give ouput recommendation of buy/sell and target price. ,"1. https://www.quantinsti.com/articles/algorithmic-trading-strategies/
2. https://books.google.co.uk/books?hl=en&lr=&id=CIwCTVqEj4oC&oi=fnd&pg=PR9&dq=algorithmic+trading&ots=kVDHCkDCyF&sig=OU00lfnGwxpzlIFxNFs06EZ2DSY&redir_esc=y",Text/Structured json format,,Scope on the technical analysis,Provide recommendation based on rule base at given metrics,"Analyse when the agent enter failure mode and identify the reason, then improve",Iqbal
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Onchain,Focus on anlysing the onchain data to discover potential sudden/trend shift on the underlying token blockchain.,"An agent that network activity, token holder behavior, liqudity pool burn/lock analysis, wallet holders, MEMpool.","Blockchain nodes, smart contract events, Transactions/contract calls, state change",optional,,Text/Structured json format,,Limit the data only onchain data and DEX,,,MF
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Sentiment /News,Analyse news and/or social media posts to identify current market sentiment,Sentiment news agent to identify market player perception on the token.,"1. Social media, forums, chat
2. News sites, official channels, RSS feeds",Use LLm web serching capability to search relevant news and anlyse the sentiment,https://arxiv.org/pdf/2512.02436,,https://www.dlnews.com/rss/,Limit only credible news source,,,MF
Execution,Trade execution decision,MEV-aware execution,,,,,,,,Next Phase,
,,,,,,,,,,,
,,Gas cost modelling,,,,,,,,,
,,,,,,,,,,,
,,Multi-chain coordination,,,,,,,,,
,,,,,,,,,,,
,,Adjust portfolio allocation,,,,,,,,,
Monitor & control,,"Assessing factors such as market volatility, liquidity, and counterparty risks",,,,,,,,Next Phase,
,,,,,,,,,,,
,,Implement stop-loss,,,,,,,,,
